,DomainLength,TLD,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,IsHTTPS,HasTitle,HasFavicon,NoOfURLRedirect,HasDescription,NoOfiFrame,HasHiddenFields,HasPasswordField,NoOfImage,NoOfCSS,NoOfJS,label
136,13,254,1,7,0.35,0,0.0,1,1,1,0,1,2,0,0,42,1,5,1
140,16,313,1,10,0.435,0,0.0,1,1,1,0,0,1,0,0,42,3,11,1
141,23,254,1,16,0.533,0,0.0,1,1,0,0,1,0,0,0,37,9,13,1
145,28,231,1,22,0.629,0,0.0,1,1,0,0,0,2,1,0,11,5,22,1
160,15,138,1,8,0.364,0,0.0,1,1,0,0,1,1,0,0,63,15,22,1
162,14,231,1,8,0.381,0,0.0,1,1,1,0,1,4,0,0,3,2,6,1
164,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,0,0,23,6,18,1
168,19,303,1,13,0.5,0,0.0,1,1,1,0,1,0,1,0,22,4,11,1
176,24,231,1,16,0.516,0,0.0,1,1,0,0,1,3,1,0,18,3,30,1
184,17,254,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,50,3,3,1
187,26,231,1,20,0.606,0,0.0,1,1,1,0,0,3,1,0,33,7,18,1
188,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,1,0,27,11,13,1
192,20,231,1,14,0.519,0,0.0,1,1,1,0,1,1,0,0,3,1,4,1
201,16,231,1,10,0.435,0,0.0,1,1,1,0,1,3,0,0,2,5,10,1
203,16,231,1,9,0.391,0,0.0,1,1,1,0,1,0,1,0,11,4,8,1
205,20,231,1,14,0.519,0,0.0,1,1,0,0,1,0,0,0,4,1,6,1
207,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,1,0,27,4,9,1
208,28,254,1,21,0.6,0,0.0,1,1,1,0,1,1,1,0,16,3,5,1
210,21,211,1,15,0.536,0,0.0,1,1,0,0,0,1,0,0,25,17,27,1
217,21,231,1,15,0.536,0,0.0,1,1,0,0,0,6,1,0,16,13,45,1
218,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,0,0,9,5,10,1
219,23,231,1,16,0.533,0,0.0,1,1,1,0,1,2,0,0,28,2,9,1
220,30,231,1,24,0.649,0,0.0,1,1,0,0,0,0,1,0,32,9,25,1
221,16,231,1,10,0.435,0,0.0,1,1,1,0,1,9,1,0,14,5,17,1
224,22,231,1,16,0.552,0,0.0,1,1,1,0,1,2,1,0,0,31,15,1
226,29,231,1,23,0.639,0,0.0,1,1,0,0,1,0,0,0,31,22,29,1
228,11,252,1,5,0.278,0,0.0,1,1,1,0,0,2,1,0,2,3,10,1
230,12,275,1,6,0.316,0,0.0,1,1,1,0,0,1,1,0,4,2,6,1
231,16,254,1,10,0.435,0,0.0,1,1,0,0,1,0,0,0,14,13,6,1
240,22,231,1,16,0.552,0,0.0,1,1,1,0,0,3,0,0,8,8,12,1
250,21,231,1,15,0.536,0,0.0,1,1,1,0,1,3,1,0,73,2,5,1
253,16,231,1,10,0.435,0,0.0,1,1,1,0,1,2,1,0,40,16,29,1
255,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,11,5,9,1
257,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,0,0,24,0,11,1
261,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,87,1,4,1
269,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,1,0,53,10,11,1
271,17,231,1,11,0.458,0,0.0,1,1,0,0,0,3,1,0,35,20,27,1
273,30,231,1,24,0.649,0,0.0,1,1,0,0,1,3,1,0,26,8,10,1
279,25,254,1,17,0.531,0,0.0,1,1,1,0,1,0,0,0,16,8,11,1
290,19,231,1,13,0.5,0,0.0,1,1,1,0,1,2,0,0,5,1,10,1
294,22,231,1,16,0.552,0,0.0,1,1,1,0,1,3,1,0,34,6,20,1
296,15,231,1,9,0.409,0,0.0,1,1,1,0,1,1,1,0,4,6,13,1
301,13,231,1,7,0.35,0,0.0,1,1,1,0,1,0,0,0,17,6,4,1
309,17,254,1,11,0.458,0,0.0,1,1,0,0,1,0,1,0,66,3,4,1
310,13,231,1,7,0.35,0,0.0,1,1,1,0,1,0,1,0,50,16,30,1
313,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,0,0,43,3,17,1
322,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,1,0,44,17,30,1
327,12,231,1,6,0.316,0,0.0,1,1,1,0,1,3,1,0,11,14,22,1
328,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,13,4,7,1
338,30,231,1,24,0.649,0,0.0,1,1,0,0,1,1,0,0,16,9,10,1
340,11,254,1,5,0.278,0,0.0,1,1,0,0,1,0,1,0,33,29,42,1
343,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,39,4,17,1
349,28,254,1,21,0.6,0,0.0,1,1,0,0,1,3,0,0,16,9,16,1
350,15,231,1,9,0.409,0,0.0,1,1,1,0,0,0,1,0,26,25,25,1
355,29,231,1,23,0.639,0,0.0,1,1,0,0,1,0,0,0,26,9,8,1
357,20,231,1,14,0.519,0,0.0,1,1,1,0,0,0,0,0,75,20,42,1
359,26,231,1,20,0.606,0,0.0,1,1,0,0,1,0,0,0,43,3,5,1
367,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,0,0,59,2,7,1
372,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,38,6,13,1
390,16,231,1,10,0.435,0,0.0,1,1,0,0,0,1,1,0,21,1,8,1
392,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,10,12,16,1
395,17,231,1,11,0.458,0,0.0,1,1,1,0,1,2,1,0,39,3,9,1
397,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,1,0,1,1,42,1
405,37,231,1,29,0.659,0,0.0,1,1,0,0,1,2,0,0,12,2,5,1
407,20,254,1,14,0.519,0,0.0,1,1,1,0,0,2,1,0,86,4,18,1
410,14,226,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,31,2,7,1
411,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,0,0,52,5,8,1
414,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,1,0,65,3,5,1
422,27,231,1,21,0.618,0,0.0,1,1,1,0,1,0,0,0,17,7,10,1
426,23,231,1,17,0.567,0,0.0,1,1,0,0,1,0,0,0,40,17,25,1
434,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,0,0,10,4,16,1
437,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,0,0,32,5,3,1
440,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,1,0,18,4,3,1
450,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,0,0,21,11,11,1
451,23,231,1,17,0.567,0,0.0,1,1,0,0,0,0,0,0,25,3,7,1
457,11,189,1,5,0.278,0,0.0,1,1,1,0,0,0,1,0,15,20,27,1
459,16,231,1,10,0.435,0,0.0,1,1,0,0,1,2,0,0,8,21,24,1
463,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,0,0,80,4,15,1
470,19,231,1,13,0.5,0,0.0,1,1,1,0,1,2,1,0,7,2,14,1
473,19,231,1,13,0.5,0,0.0,1,1,1,0,1,0,0,0,27,10,13,1
476,23,231,1,17,0.567,0,0.0,1,1,0,0,1,0,0,0,14,15,33,1
478,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,2,4,2,1
485,19,231,1,12,0.462,0,0.0,1,1,0,0,0,0,0,0,0,1,2,1
487,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,46,3,13,1
489,31,282,1,25,0.658,0,0.0,1,1,1,0,1,2,0,0,15,10,17,1
495,24,254,1,17,0.548,0,0.0,1,1,0,0,0,1,1,0,15,17,26,1
496,30,303,1,23,0.622,0,0.0,1,1,1,0,1,6,1,0,76,4,3,1
499,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,1,0,6,2,7,1
504,21,231,1,15,0.536,0,0.0,1,1,0,0,1,2,0,0,9,5,9,1
507,30,231,1,24,0.649,0,0.0,1,1,1,0,1,5,1,0,33,20,36,1
510,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,0,0,5,1,3,1
514,17,231,1,10,0.417,0,0.0,1,1,1,0,1,5,1,0,40,4,31,1
523,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,0,0,32,7,16,1
526,27,231,1,21,0.618,0,0.0,1,1,0,0,1,2,1,0,4,4,35,1
530,15,138,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,22,2,3,1
531,9,254,1,3,0.188,0,0.0,1,1,0,0,0,3,0,0,83,2,15,1
535,20,231,1,14,0.519,0,0.0,1,1,0,0,0,0,1,0,11,12,10,1
538,19,252,1,13,0.5,0,0.0,1,1,1,0,1,0,0,0,13,4,11,1
539,19,231,1,12,0.462,0,0.0,1,1,1,0,0,0,1,0,5,1,8,1
543,16,258,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,2,1,15,1
546,16,231,1,9,0.391,0,0.0,1,1,0,0,1,0,1,0,25,3,1,1
548,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,0,0,31,3,2,1
549,26,231,1,20,0.606,0,0.0,1,1,1,0,0,1,1,0,28,2,6,1
550,12,273,1,6,0.316,0,0.0,1,1,0,0,0,0,1,0,9,16,38,1
552,12,292,1,6,0.316,0,0.0,1,1,1,0,1,0,1,0,39,10,19,1
554,32,303,1,25,0.641,0,0.0,1,1,1,0,0,5,1,0,23,5,5,1
556,21,231,1,15,0.536,0,0.0,1,1,1,0,1,1,1,0,18,3,5,1
563,18,231,1,12,0.48,0,0.0,1,1,0,0,1,4,1,0,12,10,13,1
564,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,38,9,16,1
567,16,231,1,10,0.435,0,0.0,1,1,0,0,0,0,0,0,18,6,5,1
571,15,189,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,3,2,0,1
584,26,231,1,19,0.576,0,0.0,1,1,1,0,1,0,1,0,13,6,12,1
586,16,231,1,10,0.435,0,0.0,1,1,1,0,0,0,1,0,4,10,17,1
595,18,231,1,11,0.44,0,0.0,1,1,1,0,1,0,1,0,24,3,6,1
597,21,254,1,13,0.464,0,0.0,1,1,0,0,0,0,1,0,4,7,4,1
610,14,231,1,8,0.381,0,0.0,1,1,0,0,1,0,0,0,37,7,13,1
613,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,17,3,6,1
619,14,231,1,8,0.381,0,0.0,1,1,1,0,1,2,1,0,9,4,10,1
627,14,231,1,8,0.381,0,0.0,1,1,0,0,0,1,1,0,18,4,9,1
630,30,231,1,24,0.649,0,0.0,1,1,1,0,1,0,1,0,25,6,4,1
631,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,0,0,27,1,8,1
640,16,231,1,10,0.435,0,0.0,1,1,0,0,1,0,1,0,18,3,13,1
641,12,303,1,6,0.316,0,0.0,1,1,0,0,1,0,0,0,17,6,18,1
648,27,231,1,21,0.618,0,0.0,1,1,0,0,1,1,1,0,25,28,37,1
649,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,8,2,7,1
651,20,231,1,14,0.519,0,0.0,1,1,0,0,0,0,1,0,14,13,13,1
653,28,231,1,20,0.571,0,0.0,1,1,1,0,0,1,1,0,10,3,4,1
656,30,189,1,24,0.649,0,0.0,1,1,1,0,0,3,0,0,19,8,19,1
660,25,189,1,19,0.594,0,0.0,1,1,1,0,0,2,1,0,34,3,4,1
663,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,30,5,8,1
665,17,231,1,11,0.458,0,0.0,1,1,1,0,1,3,1,0,10,3,13,1
668,18,231,1,12,0.48,0,0.0,1,1,0,0,1,3,0,0,33,7,18,1
669,14,254,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,52,5,9,1
671,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,1,0,40,4,13,1
672,16,231,1,10,0.435,0,0.0,1,1,0,0,1,4,1,0,14,13,11,1
678,27,231,1,20,0.588,0,0.0,1,1,0,0,1,3,1,0,16,10,7,1
684,20,231,1,14,0.519,0,0.0,1,1,0,0,1,4,1,0,9,7,10,1
687,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,1,0,14,8,6,1
692,22,231,1,16,0.552,0,0.0,1,1,1,0,1,2,0,0,14,2,11,1
693,21,231,1,15,0.536,0,0.0,1,1,0,0,0,0,1,0,17,4,6,1
697,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,1,0,39,6,7,1
700,11,231,1,5,0.278,0,0.0,1,1,1,0,0,1,1,0,19,3,8,1
701,15,231,1,9,0.409,0,0.0,1,1,1,0,0,0,0,0,4,10,5,1
705,20,231,1,14,0.519,0,0.0,1,1,1,0,1,1,0,0,28,5,12,1
708,23,231,1,17,0.567,0,0.0,1,1,0,0,1,3,1,0,21,9,12,1
711,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,7,1,3,1
712,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,1,0,56,20,24,1
721,18,231,1,11,0.44,0,0.0,1,1,0,0,1,4,1,0,10,19,38,1
725,19,231,1,13,0.5,0,0.0,1,1,0,0,1,0,0,0,40,0,2,1
732,16,231,1,10,0.435,0,0.0,1,1,0,0,0,0,1,0,29,4,8,1
741,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,43,14,15,1
743,12,258,1,6,0.316,0,0.0,1,1,0,0,1,0,0,0,16,3,7,1
748,11,273,1,5,0.278,0,0.0,1,1,1,0,0,0,1,0,8,22,26,1
750,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,1,0,45,4,10,1
766,23,231,1,17,0.567,0,0.0,1,1,1,0,0,2,1,0,17,8,18,1
779,21,231,1,15,0.536,0,0.0,1,1,0,0,1,1,0,0,10,0,5,1
783,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,0,0,20,4,10,1
784,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,13,1,3,1
800,20,231,1,14,0.519,0,0.0,1,1,1,0,1,3,0,0,20,7,18,1
802,22,231,1,16,0.552,0,0.0,1,1,1,0,0,1,0,0,7,30,2,1
806,18,231,1,12,0.48,0,0.0,1,1,0,0,0,0,1,0,30,5,11,1
821,17,254,1,10,0.417,0,0.0,1,1,1,0,0,0,1,0,3,20,20,1
822,13,231,1,7,0.35,0,0.0,1,1,1,0,1,0,1,0,15,7,15,1
823,14,226,1,8,0.381,0,0.0,1,1,1,0,0,0,0,0,6,2,4,1
825,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,52,6,6,1
830,13,189,1,7,0.35,0,0.0,1,1,0,0,0,6,0,0,18,6,11,1
833,23,231,1,17,0.567,0,0.0,1,1,1,0,1,1,1,0,33,7,17,1
835,20,334,1,14,0.519,0,0.0,1,1,1,0,0,0,1,0,9,5,12,1
837,18,231,1,12,0.48,0,0.0,1,1,0,0,0,1,0,0,11,5,9,1
840,19,231,1,13,0.5,0,0.0,1,1,0,0,1,0,1,0,5,3,6,1
847,21,231,1,15,0.536,0,0.0,1,1,1,0,1,1,0,0,53,2,12,1
850,27,303,1,21,0.618,0,0.0,1,1,1,0,1,0,1,0,43,7,12,1
851,24,231,1,16,0.516,0,0.0,1,1,0,0,1,0,0,0,11,4,5,1
853,24,231,1,18,0.581,0,0.0,1,1,1,0,1,1,0,0,70,8,10,1
859,16,292,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,23,6,18,1
860,15,231,1,9,0.409,0,0.0,1,1,0,0,1,9,1,0,16,28,14,1
873,22,231,1,16,0.552,0,0.0,1,1,1,0,1,1,1,0,20,9,16,1
876,29,231,1,23,0.639,0,0.0,1,1,0,0,0,0,1,0,7,8,8,1
878,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,22,3,6,1
881,24,231,1,18,0.581,0,0.0,1,1,0,0,1,2,1,0,20,1,5,1
885,17,231,1,11,0.458,0,0.0,1,1,1,0,1,8,1,0,20,1,7,1
886,16,231,1,10,0.435,0,0.0,1,1,0,0,1,2,0,0,18,13,15,1
908,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,11,2,15,1
909,19,231,1,13,0.5,0,0.0,1,1,1,0,1,0,1,0,7,16,27,1
916,16,231,1,10,0.435,0,0.0,1,1,0,0,1,0,0,0,19,5,8,1
921,20,231,1,14,0.519,0,0.0,1,1,1,0,0,2,1,0,101,22,39,1
925,14,231,1,8,0.381,0,0.0,1,1,1,0,1,2,1,0,25,6,44,1
928,17,189,1,11,0.458,0,0.0,1,1,0,0,0,2,0,0,25,1,1,1
929,20,231,1,14,0.519,0,0.0,1,1,0,0,1,1,1,0,33,12,12,1
930,14,231,1,8,0.381,0,0.0,1,1,1,0,0,9,1,0,7,5,7,1
931,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,0,0,26,11,10,1
934,18,231,1,12,0.48,0,0.0,1,1,1,0,0,0,0,0,18,6,12,1
937,29,231,1,23,0.639,0,0.0,1,1,1,0,1,2,1,0,23,6,16,1
941,27,231,1,21,0.618,0,0.0,1,1,0,0,1,0,0,0,24,6,12,1
942,15,231,1,8,0.364,0,0.0,1,1,1,0,1,4,0,0,69,3,14,1
943,25,231,1,19,0.594,0,0.0,1,1,0,0,0,0,1,0,48,23,43,1
944,21,231,1,15,0.536,0,0.0,1,1,0,0,1,1,0,0,36,8,9,1
945,19,231,1,13,0.5,0,0.0,1,1,0,0,1,1,1,0,90,3,34,1
949,31,231,1,25,0.658,0,0.0,1,1,1,0,1,0,1,0,20,9,12,1
950,16,282,1,10,0.435,0,0.0,1,1,1,0,1,2,1,0,18,7,7,1
951,16,231,1,10,0.435,0,0.0,1,1,1,0,0,6,1,0,28,4,9,1
961,20,231,1,14,0.519,0,0.0,1,1,1,0,1,7,0,0,2,4,12,1
968,19,231,1,13,0.5,0,0.0,1,1,1,0,1,1,1,0,42,18,20,1
970,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,55,1,15,1
976,15,231,1,9,0.409,0,0.0,1,1,0,0,1,3,1,0,13,0,7,1
994,27,254,1,20,0.588,0,0.0,1,1,0,0,0,0,0,0,2,1,2,1
996,25,231,1,18,0.562,0,0.0,1,1,1,0,1,0,1,0,19,7,12,1
997,20,231,1,13,0.481,0,0.0,1,1,1,0,1,0,0,0,1,1,0,1
998,12,263,1,6,0.316,0,0.0,1,1,0,0,0,0,0,0,1,11,13,1
1001,27,231,1,21,0.618,0,0.0,1,1,1,0,1,0,0,0,52,4,9,1
1008,23,231,1,17,0.567,0,0.0,1,1,0,0,0,0,1,0,12,21,21,1
1009,27,231,1,21,0.618,0,0.0,1,1,0,0,1,0,1,0,14,3,8,1
1010,16,231,1,10,0.435,0,0.0,1,1,1,0,1,3,1,0,63,25,40,1
1017,14,231,1,7,0.333,0,0.0,1,1,0,0,0,4,1,0,39,6,4,1
1019,21,231,1,15,0.536,0,0.0,1,1,0,0,0,2,1,0,20,13,22,1
1026,14,231,1,8,0.381,0,0.0,1,1,1,0,0,0,0,0,8,10,13,1
1029,19,252,1,13,0.5,0,0.0,1,1,0,0,1,0,0,0,16,3,10,1
1035,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,1,0,11,0,0,1
1045,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,0,0,20,4,12,1
1048,24,231,1,18,0.581,0,0.0,1,1,1,0,1,2,1,0,65,7,17,1
1058,19,231,1,13,0.5,0,0.0,1,1,1,0,0,4,1,0,19,10,24,1
1059,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,12,1,1,1
1064,15,273,1,9,0.409,0,0.0,1,1,1,0,1,2,1,0,16,1,3,1
1069,16,231,1,10,0.435,0,0.0,1,1,0,0,0,0,1,0,31,12,9,1
1073,25,231,1,18,0.562,0,0.0,1,1,1,0,1,0,0,0,5,8,6,1
1076,19,231,1,13,0.5,0,0.0,1,1,1,0,1,0,1,0,23,1,2,1
1077,18,231,1,12,0.48,0,0.0,1,1,0,0,1,3,1,0,18,12,16,1
1078,21,254,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,8,13,12,1
1081,21,231,1,15,0.536,0,0.0,1,1,0,0,1,2,0,0,9,3,9,1
1083,24,231,1,18,0.581,0,0.0,1,1,1,0,1,2,1,0,19,19,13,1
1092,25,231,1,19,0.594,0,0.0,1,1,0,0,1,1,1,0,24,2,11,1
1095,21,231,1,15,0.536,0,0.0,1,1,1,0,1,1,0,0,26,1,23,1
1098,20,231,1,14,0.519,0,0.0,1,1,1,0,1,7,1,0,61,6,16,1
1101,23,254,1,17,0.567,0,0.0,1,1,1,0,1,2,1,0,22,1,4,1
1102,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,2,14,6,1
1111,21,231,1,15,0.536,0,0.0,1,1,0,0,0,4,1,0,22,1,13,1
1112,19,231,1,13,0.5,0,0.0,1,1,0,0,1,0,1,0,16,18,26,1
1115,13,231,1,6,0.3,0,0.0,1,1,1,0,1,3,1,0,11,1,12,1
1119,22,231,1,16,0.552,0,0.0,1,1,1,0,1,4,0,0,19,2,8,1
1121,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,1,0,24,11,16,1
1123,20,231,1,14,0.519,0,0.0,1,1,1,0,1,1,1,0,16,0,10,1
1134,20,231,1,13,0.481,0,0.0,1,1,0,0,1,2,1,0,55,3,6,1
1137,19,231,1,13,0.5,0,0.0,1,1,0,0,1,0,0,0,27,7,5,1
1140,27,231,1,21,0.618,0,0.0,1,1,0,0,1,0,1,0,72,4,12,1
1143,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,0,0,41,2,4,1
1144,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,1,0,32,14,14,1
1145,20,231,1,14,0.519,0,0.0,1,1,1,0,1,3,1,0,18,4,9,1
1146,21,231,1,15,0.536,0,0.0,1,1,0,0,1,2,1,0,16,5,8,1
1147,17,231,1,11,0.458,0,0.0,1,1,0,0,0,0,1,0,4,2,11,1
1148,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,27,2,7,1
1170,33,252,1,27,0.675,0,0.0,1,1,0,0,1,4,1,0,66,9,9,1
1183,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,0,0,21,4,8,1
1192,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,1,0,28,12,32,1
1195,19,231,1,13,0.5,0,0.0,1,1,0,0,1,1,1,0,18,21,29,1
1196,22,231,1,16,0.552,0,0.0,1,1,1,0,1,3,1,0,20,5,19,1
1197,19,231,1,13,0.5,0,0.0,1,1,1,0,1,4,0,0,27,12,17,1
1200,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,1,0,30,7,4,1
1203,20,231,1,14,0.519,0,0.0,1,1,0,0,1,4,1,0,15,19,12,1
1204,26,231,1,20,0.606,0,0.0,1,1,0,0,1,0,0,0,23,6,19,1
1206,19,231,1,13,0.5,0,0.0,1,1,0,0,1,2,1,0,40,14,25,1
1209,27,231,1,21,0.618,0,0.0,1,1,0,0,1,1,1,0,17,6,15,1
1210,15,231,1,9,0.409,0,0.0,1,1,1,0,1,6,1,0,5,11,18,1
1211,19,231,1,13,0.5,0,0.0,1,1,0,0,0,3,0,0,9,3,2,1
1225,23,231,1,17,0.567,0,0.0,1,1,0,0,1,3,0,0,66,29,22,1
1226,21,254,1,14,0.5,0,0.0,1,1,0,0,0,0,1,0,11,1,5,1
1233,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,78,7,11,1
1236,17,231,1,11,0.458,0,0.0,1,1,0,0,1,2,0,0,14,4,8,1
1239,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,0,0,65,1,8,1
1241,24,231,1,18,0.581,0,0.0,1,1,0,0,1,0,1,0,45,4,6,1
1243,19,231,1,13,0.5,0,0.0,1,1,1,0,1,2,1,0,91,3,22,1
1248,18,231,1,12,0.48,0,0.0,1,1,0,0,1,2,1,0,55,1,7,1
1253,14,231,1,8,0.381,0,0.0,1,1,0,0,1,4,0,0,22,0,1,1
1255,13,254,1,7,0.35,0,0.0,1,1,1,0,1,0,0,0,21,1,12,1
1270,15,252,1,9,0.409,0,0.0,1,1,0,0,1,0,1,0,28,24,16,1
1280,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,1,0,37,6,9,1
1282,16,303,1,9,0.391,0,0.0,1,1,1,0,0,0,1,0,38,32,26,1
