,DomainLength,TLD,TLDLength,NoOfSubDomain,LetterRatioInURL,label
120,33,com,3,1,0.9,0
121,25,com,3,0,0.9583333333333334,0
122,16,com,3,1,0.9333333333333333,0
123,18,com,3,0,0.9714285714285714,0
124,30,com,3,1,0.8679245283018868,0
125,16,com,3,1,0.9333333333333333,0
126,50,com,3,3,0.9473684210526315,0
127,20,com,3,1,0.9473684210526315,0
128,20,com,3,1,0.918918918918919,0
129,17,com,3,1,0.9375,1
130,14,au,2,1,0.9230769230769231,0
131,24,de,2,1,0.9333333333333333,1
132,14,za,2,2,0.88,0
133,20,com,3,1,0.9473684210526315,1
134,18,com,3,1,0.9411764705882353,1
135,20,org,3,1,0.9473684210526315,1
136,37,jp,2,5,0.8253968253968254,0
137,29,com,3,1,0.9642857142857143,0
138,23,com,3,1,0.9545454545454546,1
139,16,com,3,1,0.9333333333333333,1
140,6,si,2,0,0.9090909090909091,0
141,19,com,3,1,0.9444444444444444,1
142,35,com,3,3,0.8709677419354839,0
143,8,sk,2,0,0.9333333333333333,1
144,10,us,2,1,0.8888888888888888,1
145,15,com,3,0,0.9655172413793104,1
146,27,com,3,1,0.8979591836734694,0
147,19,org,3,0,0.972972972972973,1
148,13,com,3,0,0.9166666666666666,0
149,15,com,3,1,0.9285714285714286,1
150,25,com,3,1,0.9583333333333334,1
151,25,com,3,1,0.9583333333333334,0
152,20,nl,2,0,0.9743589743589743,0
153,20,sg,2,2,0.918918918918919,1
154,17,com,3,1,0.9375,1
155,19,dk,2,1,0.9142857142857143,1
156,14,link,4,1,0.9230769230769231,0
157,14,br,2,2,0.88,1
158,18,net,3,1,0.9411764705882353,1
159,19,np,2,2,0.9142857142857143,0
160,29,app,3,1,0.84,0
161,22,net,3,1,0.9523809523809523,1
162,15,com,3,1,0.9285714285714286,1
163,17,com,3,1,0.9375,0
164,18,com,3,1,0.9411764705882353,1
165,15,com,3,1,0.9285714285714286,1
166,17,ch,2,1,0.9375,1
167,7,org,3,0,0.9230769230769231,1
168,22,cc,2,2,0.9,0
169,13,net,3,0,0.96,0
170,31,com,3,1,0.9666666666666667,0
171,26,com,3,1,0.9387755102040817,1
172,12,co,2,1,0.9090909090909091,1
173,20,com,3,1,0.9473684210526315,1
174,25,biz,3,1,0.9130434782608695,0
175,15,com,3,0,0.9655172413793104,0
176,42,it,2,1,0.9367088607594937,0
177,15,com,3,1,0.9285714285714286,1
178,11,plus,4,0,0.9523809523809523,1
179,27,com,3,1,0.9615384615384616,0
180,24,com,3,2,0.9333333333333333,0
181,33,co,2,3,0.9180327868852459,0
182,11,com,3,1,0.7058823529411765,0
183,22,com,3,0,0.926829268292683,0
184,26,com,3,0,0.9803921568627451,0
185,21,com,3,1,0.95,0
186,44,com,3,3,0.9135802469135802,0
187,27,be,2,1,0.875,0
188,14,com,3,1,0.9230769230769231,0
189,13,com,3,0,0.96,1
190,40,com,3,3,0.9473684210526315,0
191,22,com,3,1,0.9523809523809523,0
192,15,am,2,1,0.9285714285714286,0
193,20,uk,2,2,0.918918918918919,0
194,20,eu,2,1,0.9473684210526315,0
195,16,org,3,1,0.9333333333333333,1
196,14,ru,2,1,0.8333333333333334,0
197,14,com,3,0,0.9629629629629629,0
198,21,com,3,1,0.95,1
199,15,ru,2,1,0.8888888888888888,1
200,8,org,3,0,0.9333333333333333,0
201,15,com,3,1,0.9285714285714286,1
202,14,186,3,2,0.0,0
203,24,com,3,1,0.9565217391304348,1
204,27,com,3,1,0.9615384615384616,1
205,20,hu,2,0,0.9473684210526315,1
206,16,org,3,1,0.9333333333333333,1
207,27,com,3,1,0.92,0
208,18,gr,2,0,0.9411764705882353,0
209,39,com,3,3,0.8529411764705882,0
210,29,app,3,1,0.8846153846153846,0
211,15,ua,2,2,0.8888888888888888,1
212,15,com,3,1,0.9285714285714286,1
213,50,com,3,3,0.9473684210526315,0
214,16,org,3,1,0.9333333333333333,1
215,16,org,3,1,0.9333333333333333,1
216,21,org,3,1,0.95,1
217,15,com,3,1,0.9285714285714286,1
218,17,com,3,1,0.9032258064516129,1
219,50,com,3,3,0.9473684210526315,0
220,11,com,3,1,0.9,1
221,15,com,3,0,0.9655172413793104,0
222,23,com,3,1,0.9047619047619048,1
223,22,cc,2,2,0.9,0
224,16,com,3,1,0.9333333333333333,1
225,20,tr,2,2,0.918918918918919,1
226,12,com,3,1,0.9090909090909091,1
227,12,com,3,0,0.9090909090909091,0
228,15,gr,2,1,0.9285714285714286,1
229,20,com,3,1,0.9473684210526315,1
230,21,com,3,1,0.9230769230769231,1
231,24,com,3,1,0.9565217391304348,0
232,18,ru,2,1,0.9411764705882353,1
233,19,org,3,1,0.9444444444444444,1
234,17,com,3,1,0.9375,1
235,28,com,3,1,0.9230769230769231,1
236,13,ir,2,1,0.9166666666666666,1
237,10,com,3,0,0.9473684210526315,0
238,15,com,3,1,0.9285714285714286,1
239,179,com,3,12,0.8670886075949367,0
240,6,ly,2,0,0.9090909090909091,0
241,21,com,3,0,0.975609756097561,0
242,19,com,3,1,0.9444444444444444,1
243,26,com,3,1,0.96,1
244,36,com,3,3,0.8571428571428571,0
245,22,ru,2,1,0.9523809523809523,0
246,10,ro,2,0,0.9473684210526315,0
247,22,es,2,1,0.9523809523809523,1
248,16,com,3,0,0.967741935483871,0
249,18,com,3,1,0.875,0
250,20,net,3,1,0.9473684210526315,1
251,28,com,3,0,0.9629629629629629,0
252,12,com,3,1,0.9090909090909091,1
253,18,com,3,1,0.9411764705882353,1
254,18,com,3,1,0.9411764705882353,1
255,18,se,2,1,0.9411764705882353,1
256,33,com,3,1,0.9354838709677419,1
257,120,com,3,9,0.9237668161434978,0
258,6,li,2,0,0.9090909090909091,0
259,16,com,3,1,0.9333333333333333,1
260,16,org,3,1,0.9333333333333333,1
261,22,com,3,1,0.9523809523809523,1
262,32,com,3,1,0.896551724137931,0
263,24,com,3,1,0.9565217391304348,1
264,23,link,4,0,0.9545454545454546,0
265,30,com,3,1,0.9655172413793104,1
266,14,net,3,1,0.9230769230769231,1
267,20,org,3,1,0.9473684210526315,1
268,19,com,3,1,0.9444444444444444,1
269,20,com,3,0,0.9743589743589743,1
270,16,com,3,1,0.9333333333333333,0
271,25,com,3,0,0.9795918367346939,0
272,9,to,2,0,0.9411764705882353,1
273,12,no,2,0,0.9565217391304348,1
274,14,162,3,2,0.0,0
275,24,com,3,1,0.9565217391304348,0
276,20,cy,2,2,0.918918918918919,1
277,31,com,3,1,0.9310344827586207,0
278,16,org,3,1,0.9333333333333333,1
279,32,com,3,1,0.8363636363636363,0
280,24,com,3,1,0.9333333333333333,0
281,18,com,3,0,0.9714285714285714,0
282,48,de,2,1,0.72,0
283,50,com,3,3,0.9473684210526315,0
284,14,sg,2,1,0.9230769230769231,1
285,14,com,3,1,0.9230769230769231,1
286,18,org,3,1,0.9411764705882353,1
287,14,ro,2,0,0.9629629629629629,0
288,32,com,3,1,0.967741935483871,1
289,23,com,3,0,0.9777777777777777,0
290,18,com,3,1,0.9411764705882353,1
291,21,com,3,1,0.95,1
292,22,com,3,1,0.9523809523809523,1
293,20,com,3,1,0.9473684210526315,1
294,20,au,2,1,0.9473684210526315,0
295,20,org,3,1,0.9473684210526315,1
296,12,ch,2,1,0.9090909090909091,1
297,13,org,3,1,0.9166666666666666,1
298,19,de,2,1,0.8823529411764706,1
299,25,au,2,2,0.9361702127659575,0
300,14,com,3,0,0.9629629629629629,0
301,19,org,3,1,0.9444444444444444,1
302,17,uk,2,1,0.9375,1
303,33,com,3,1,0.9523809523809523,0
304,17,asia,4,0,0.9696969696969697,0
305,39,com,3,3,0.8181818181818182,0
306,11,info,4,0,0.9523809523809523,0
307,10,ru,2,0,0.9473684210526315,0
308,16,com,3,0,0.967741935483871,0
309,20,com,3,1,0.9473684210526315,0
310,9,id,2,0,0.9411764705882353,0
311,22,com,3,1,0.9,1
312,28,biz,3,1,0.9230769230769231,0
313,25,com,3,1,0.9583333333333334,1
314,25,com,3,1,0.9583333333333334,1
315,23,br,2,1,0.9545454545454546,0
316,17,tk,2,1,0.9375,0
317,23,com,3,1,0.9545454545454546,1
318,18,net,3,1,0.9090909090909091,1
319,27,com,3,1,0.9615384615384616,0
320,16,com,3,1,0.9333333333333333,1
321,19,com,3,1,0.9444444444444444,1
322,16,org,3,1,0.9333333333333333,1
323,13,net,3,0,0.96,0
324,19,com,3,1,0.9444444444444444,1
325,13,com,3,1,0.9166666666666666,1
326,17,au,2,2,0.9032258064516129,1
327,15,ca,2,0,0.9655172413793104,0
328,15,com,3,0,0.9655172413793104,0
329,28,com,3,1,0.9433962264150944,0
330,24,org,3,1,0.9565217391304348,1
331,15,com,3,1,0.9285714285714286,1
332,17,com,3,1,0.8275862068965517,1
333,22,ru,2,1,0.926829268292683,0
334,27,edu,3,3,0.92,1
335,26,com,3,1,0.96,0
336,22,com,3,1,0.9523809523809523,1
337,36,com,3,3,0.8,0
338,20,com,3,1,0.8571428571428571,0
339,21,com,3,1,0.8947368421052632,1
340,16,com,3,0,0.967741935483871,0
341,17,com,3,1,0.9375,1
342,12,ch,2,1,0.9090909090909091,1
343,17,com,3,1,0.9375,1
344,17,org,3,1,0.9375,1
345,19,net,3,1,0.9444444444444444,1
346,26,es,2,0,0.9803921568627451,0
347,17,eu,2,1,0.9375,1
348,14,com,3,1,0.9230769230769231,1
349,19,no,2,0,0.972972972972973,1
350,20,gov,3,1,0.9473684210526315,1
351,15,com,3,1,0.9285714285714286,1
352,25,io,2,1,0.9130434782608695,0
353,27,com,3,1,0.9411764705882353,0
354,17,com,3,1,0.9375,1
355,29,com,3,3,0.9259259259259259,0
356,32,com:443,7,1,0.8771929824561403,0
357,26,uk,2,2,0.9387755102040817,1
358,22,com,3,1,0.9523809523809523,1
359,27,com,3,1,0.9615384615384616,1
360,16,software,8,0,0.967741935483871,1
361,19,com,3,1,0.9444444444444444,1
362,12,35,2,2,0.0,0
363,30,net,3,1,0.9655172413793104,0
364,13,com,3,0,0.96,0
365,11,gr,2,1,0.9,1
366,18,net,3,1,0.9411764705882353,1
367,19,com,3,1,0.9142857142857143,1
368,20,com,3,1,0.9473684210526315,0
369,10,no,2,0,0.9473684210526315,0
370,23,com,3,1,0.9545454545454546,1
371,28,com,3,0,0.9818181818181818,0
372,30,com,3,1,0.9473684210526315,0
373,37,com,3,1,0.9577464788732394,0
374,20,com,3,0,0.9743589743589743,0
375,19,com,3,1,0.9444444444444444,1
376,20,com,3,1,0.9473684210526315,1
377,19,ru,2,1,0.9142857142857143,1
378,18,net,3,1,0.9411764705882353,1
379,18,com,3,1,0.8,0
380,15,kr,2,2,0.8888888888888888,0
381,23,com,3,1,0.9545454545454546,1
382,27,com,3,1,0.9411764705882353,0
383,12,com,3,1,0.9090909090909091,1
384,17,com,3,1,0.9375,0
385,13,195,3,2,0.0,0
386,29,com,3,1,0.9642857142857143,1
387,14,235,3,2,0.0,0
388,21,com,3,1,0.95,0
389,17,cn,2,1,0.9375,0
390,15,com,3,1,0.9285714285714286,0
391,11,in,2,1,0.9,1
392,15,com,3,1,0.9285714285714286,0
393,15,com,3,1,0.9285714285714286,1
394,14,com,3,0,0.9629629629629629,0
395,14,com,3,1,0.9230769230769231,1
396,13,si,2,1,0.9166666666666666,0
397,26,com,3,1,0.96,0
398,13,com,3,0,0.96,0
399,13,94,2,2,0.0,0
400,19,com,3,1,0.9444444444444444,1
401,18,uk,2,2,0.9090909090909091,1
402,15,com,3,1,0.9285714285714286,1
403,4,ly,2,0,0.6666666666666666,0
404,18,com,3,1,0.9411764705882353,1
405,36,com,3,3,0.8,0
406,16,org,3,1,0.9333333333333333,1
407,13,fr,2,1,0.8181818181818182,0
408,32,com,3,1,0.967741935483871,0
409,15,com,3,1,0.9285714285714286,1
410,19,org,3,1,0.9444444444444444,1
411,36,com,3,1,0.9253731343283582,0
412,16,info,4,1,0.8571428571428571,1
413,15,hr,2,1,0.9285714285714286,1
414,10,sk,2,0,0.9473684210526315,1
415,18,net,3,1,0.9411764705882353,1
416,54,com,3,4,0.9411764705882353,0
417,34,app,3,1,0.847457627118644,0
418,19,net,3,1,0.9444444444444444,1
419,19,com,3,1,0.9142857142857143,1
420,14,ru,2,1,0.9230769230769231,1
421,20,com,3,1,0.918918918918919,1
422,21,org,3,1,0.95,1
423,20,io,2,1,0.9473684210526315,0
424,19,com,3,1,0.9444444444444444,1
425,19,com,3,1,0.9444444444444444,0
426,19,com,3,1,0.9444444444444444,1
427,50,com,3,3,0.9473684210526315,0
428,22,ru,2,1,0.9,0
429,16,ws,2,1,0.9333333333333333,0
430,17,com,3,1,0.9375,1
431,25,com,3,1,0.9583333333333334,1
432,18,com,3,1,0.9411764705882353,1
433,42,com,3,3,0.9090909090909091,0
434,32,org,3,1,0.967741935483871,1
435,10,com,3,0,0.9473684210526315,1
436,12,com,3,1,0.9090909090909091,0
437,21,se,2,1,0.95,0
438,22,com,3,1,0.9523809523809523,1
439,15,au,2,1,0.9285714285714286,0
440,26,io,2,1,0.96,1
441,18,com,3,1,0.9411764705882353,1
442,13,de,2,1,0.9166666666666666,1
443,21,com,3,1,0.95,1
444,29,com,3,1,0.9454545454545454,0
445,21,com,3,1,0.95,0
446,33,com,3,1,0.96875,1
447,5,ly,2,0,0.8888888888888888,0
448,17,com,3,1,0.9375,0
449,13,com,3,1,0.9166666666666666,1
450,46,com,3,4,0.9425287356321839,0
451,15,org,3,1,0.75,0
452,50,com,3,3,0.9473684210526315,0
453,24,ru,2,1,0.9333333333333333,1
454,61,com,3,1,0.6444444444444445,0
455,25,com,3,1,0.9583333333333334,1
456,17,com,3,1,0.9375,1
457,16,com,3,1,0.9333333333333333,1
458,15,com,3,1,0.9285714285714286,1
459,27,com,3,1,0.9615384615384616,1
460,29,com,3,1,0.9454545454545454,1
461,19,net,3,1,0.9444444444444444,1
462,50,com,3,3,0.9473684210526315,0
463,20,com,3,1,0.9473684210526315,1
464,16,com,3,1,0.9333333333333333,0
465,14,243,3,2,0.0,0
466,38,com,3,1,0.972972972972973,1
467,15,com,3,1,0.9285714285714286,1
468,20,com,3,1,0.9473684210526315,0
469,18,com,3,1,0.9411764705882353,1
470,20,com,3,1,0.9473684210526315,1
471,18,com,3,1,0.9411764705882353,1
472,61,com,3,1,0.7291666666666666,0
473,28,com,3,1,0.9629629629629629,1
474,20,com,3,1,0.9473684210526315,1
475,8,no,2,0,0.9333333333333333,1
476,13,org,3,1,0.9166666666666666,1
477,23,com,3,1,0.9302325581395349,1
478,25,com,3,0,0.9795918367346939,0
479,24,com,3,1,0.9565217391304348,1
480,22,com,3,1,0.8717948717948718,1
481,17,com,3,1,0.9375,1
482,24,com,3,1,0.9333333333333333,1
483,18,com,3,1,0.8,0
484,28,com,3,1,0.9629629629629629,0
485,17,nl,2,1,0.9375,1
486,12,id,2,1,0.9090909090909091,0
487,26,com,3,1,0.96,1
488,12,id,2,1,0.9090909090909091,1
489,14,link,4,1,0.782608695652174,0
490,20,com,3,1,0.9473684210526315,1
491,23,com,3,0,0.9777777777777777,0
492,11,dk,2,0,0.9523809523809523,1
493,22,com,3,1,0.8717948717948718,1
494,17,com,3,1,0.9375,1
495,44,com,3,3,0.7777777777777778,0
496,15,info,4,0,0.9655172413793104,1
497,59,ru,2,7,0.8867924528301887,0
498,18,com,3,0,0.9714285714285714,0
499,25,com,3,1,0.9583333333333334,1
500,13,com,3,1,0.9166666666666666,1
501,15,com,3,0,0.9655172413793104,0
502,24,com,3,1,0.9565217391304348,1
503,30,com,3,2,0.9473684210526315,1
504,10,se,2,1,0.8888888888888888,1
505,13,com,3,0,0.96,1
506,18,com,3,1,0.9411764705882353,1
507,8,net,3,0,0.9333333333333333,0
508,24,com,3,1,0.9333333333333333,0
509,15,com,3,1,0.9285714285714286,1
510,31,br,2,1,0.9666666666666667,0
511,12,198,3,2,0.0,0
512,17,net,3,0,0.9375,0
513,28,cc,2,1,0.9433962264150944,0
514,25,net,3,2,0.717948717948718,0
515,68,net,3,6,0.8173913043478261,0
516,17,io,2,1,0.9375,1
517,15,com,3,1,0.9285714285714286,1
518,13,at,2,2,0.8695652173913043,1
519,20,org,3,1,0.9473684210526315,1
520,15,ru,2,1,0.9285714285714286,0
521,15,net,3,0,0.9655172413793104,1
522,57,com,3,1,0.8823529411764706,0
523,10,uk,2,1,0.8888888888888888,1
524,29,org,3,1,0.9642857142857143,1
525,16,ru:443,6,0,0.7692307692307693,1
526,20,com,3,0,0.9743589743589743,0
527,16,com,3,1,0.9333333333333333,0
528,28,com,3,1,0.9629629629629629,1
529,22,com,3,1,0.9523809523809523,1
530,21,com,3,1,0.9230769230769231,1
531,16,com,3,1,0.9333333333333333,1
532,35,com,3,1,0.9705882352941176,0
533,16,com,3,1,0.9333333333333333,1
534,47,com,3,1,0.9782608695652174,1
535,34,com,3,1,0.9375,0
536,13,uk,2,2,0.8695652173913043,1
537,30,com,3,1,0.9655172413793104,1
538,24,com,3,1,0.7368421052631579,0
539,27,de,2,1,0.9615384615384616,0
540,38,website,7,1,0.958904109589041,0
541,17,fr,2,1,0.9375,1
542,14,com,3,1,0.9230769230769231,0
543,23,com,3,1,0.9545454545454546,1
544,10,com,3,0,0.9473684210526315,1
545,18,com,3,1,0.9411764705882353,1
546,22,com,3,1,0.9523809523809523,0
547,25,org,3,0,0.9583333333333334,1
548,15,net,3,0,0.9655172413793104,0
549,22,com,3,1,0.9523809523809523,1
550,16,br,2,1,0.9333333333333333,0
551,22,com,3,1,0.926829268292683,0
552,14,com,3,0,0.9629629629629629,0
553,19,edu,3,2,0.9142857142857143,1
554,20,eu,2,1,0.918918918918919,1
555,7,com,3,0,0.9230769230769231,1
556,12,us,2,1,0.9090909090909091,1
557,19,eu,2,1,0.9444444444444444,1
558,6,ly,2,0,0.9090909090909091,0
559,18,com,3,1,0.9411764705882353,1
560,25,com,3,1,0.9583333333333334,1
561,27,com,3,1,0.9615384615384616,0
562,18,be,2,0,0.9714285714285714,0
563,16,com,3,1,0.9333333333333333,0
564,21,ie,2,1,0.95,1
565,16,com,3,1,0.9333333333333333,1
566,19,com,3,0,0.972972972972973,0
567,17,com,3,1,0.9375,0
568,35,nl,2,1,0.9705882352941176,0
569,11,com,3,0,0.9523809523809523,1
570,14,au,2,1,0.9230769230769231,0
571,19,io,2,1,0.9444444444444444,1
572,34,me,2,1,0.9375,0
573,7,tv,2,0,0.9230769230769231,1
574,42,com,3,3,0.95,0
575,36,com,3,2,0.9565217391304348,0
576,50,com,3,3,0.9473684210526315,0
577,19,com,3,1,0.9444444444444444,1
578,17,com,3,1,0.9375,1
579,63,us,2,4,0.6382978723404256,0
580,18,com,3,1,0.9411764705882353,1
581,9,com,3,0,0.9411764705882353,1
582,14,com,3,0,0.9629629629629629,0
583,17,com,3,1,0.9032258064516129,1
584,22,com,3,1,0.9523809523809523,0
585,17,com,3,1,0.9375,1
586,24,com,3,1,0.9565217391304348,1
587,16,com,3,1,0.9333333333333333,1
588,17,com,3,1,0.9375,1
589,16,com,3,1,0.9333333333333333,1
590,13,com,3,0,0.9166666666666666,0
591,17,com,3,0,0.9696969696969697,0
592,12,org,3,0,0.9565217391304348,1
593,17,app,3,1,0.9032258064516129,0
594,23,com,3,0,0.9777777777777777,0
595,21,nl,2,1,0.95,0
596,41,com,3,3,0.8767123287671232,0
597,15,com,3,0,0.9655172413793104,0
598,13,nl,2,0,0.8181818181818182,0
599,23,com,3,1,0.9302325581395349,1
600,20,com,3,1,0.9473684210526315,0
601,23,com,3,1,0.8780487804878049,0
602,24,com,3,1,0.9090909090909091,1
603,23,au,2,2,0.9302325581395349,1
604,35,com,3,3,0.7931034482758621,0
605,22,com,3,0,0.9767441860465116,0
606,23,com,3,1,0.9545454545454546,1
607,15,ca,2,0,0.9655172413793104,0
608,11,in,2,1,0.7058823529411765,0
609,16,org,3,1,0.9333333333333333,1
610,17,com,3,1,0.9375,1
611,33,au,2,3,0.9354838709677419,0
612,20,shop,4,1,0.9473684210526315,0
613,12,com,3,0,0.9565217391304348,0
614,16,ae,2,1,0.9333333333333333,1
615,20,org,3,1,0.9473684210526315,1
616,17,vn,2,1,0.8275862068965517,0
617,24,com,3,1,0.9333333333333333,0
618,18,es,2,0,0.9714285714285714,1
619,33,com,3,2,0.9180327868852459,0
620,14,com,3,1,0.9230769230769231,1
621,15,org,3,1,0.9285714285714286,0
622,14,com,3,0,0.9629629629629629,1
623,32,com,3,1,0.9152542372881356,0
624,14,us,2,1,0.9230769230769231,1
625,25,com,3,1,0.9583333333333334,1
626,23,com,3,0,0.9777777777777777,0
627,15,com,3,0,0.9655172413793104,0
628,22,org,3,1,0.9523809523809523,0
629,17,com,3,1,0.9375,0
630,16,com,3,1,0.9333333333333333,1
631,15,au,2,1,0.9285714285714286,1
632,15,com,3,1,0.9285714285714286,0
633,27,com,3,1,0.9411764705882353,0
634,13,com,3,1,0.9166666666666666,1
635,33,com,3,1,0.96875,0
636,17,com,3,1,0.9375,1
637,4,to,2,0,0.8571428571428571,0
638,50,com,3,3,0.9473684210526315,0
639,16,pl,2,2,0.896551724137931,1
640,15,com,3,1,0.9285714285714286,1
641,20,com,3,1,0.9473684210526315,1
642,20,it,2,1,0.9473684210526315,1
643,13,app,3,1,0.7619047619047619,0
644,16,com,3,0,0.9333333333333333,1
645,16,tv,2,0,0.967741935483871,0
646,14,ru,2,1,0.9230769230769231,1
647,46,com,3,4,0.9425287356321839,0
648,16,org,3,1,0.9333333333333333,1
649,28,com,3,3,0.9230769230769231,0
650,6,ly,2,0,0.9090909090909091,0
651,26,com,3,1,0.96,1
652,16,com,3,1,0.9333333333333333,1
653,42,com,3,1,0.6666666666666666,0
654,15,com,3,1,0.9285714285714286,1
655,15,it,2,1,0.75,1
656,21,com,3,1,0.95,1
657,11,com,3,1,0.9,0
658,11,8,1,2,0.0,0
659,17,ru,2,0,0.9375,1
660,17,com,3,1,0.9375,1
661,37,com,3,3,0.8064516129032258,0
662,25,com,3,3,0.9130434782608695,0
663,14,ug,2,2,0.88,0
664,20,hu,2,0,0.9743589743589743,0
665,40,in,2,3,0.918918918918919,0
666,21,com,3,1,0.95,1
667,14,net,3,0,0.9629629629629629,1
668,11,br,2,1,0.9,0
669,9,sk,2,0,0.9411764705882353,1
670,24,top,3,0,0.9787234042553191,0
671,13,nu,2,1,0.9166666666666666,1
672,19,org,3,1,0.9444444444444444,1
673,21,com,3,1,0.95,1
674,47,com,3,2,0.967032967032967,0
675,16,ru,2,1,0.896551724137931,0
676,24,com,3,1,0.9565217391304348,1
677,16,com,3,1,0.9333333333333333,0
678,8,nl,2,0,0.9333333333333333,1
679,12,com,3,1,0.9090909090909091,1
680,12,de,2,1,0.9090909090909091,1
681,20,net,3,0,0.9743589743589743,0
682,12,mx,2,1,0.9090909090909091,1
683,18,pro,3,1,0.9411764705882353,0
